PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Michael Porter Jr.,"Thu
4/4",DEN,@,LAC,"L
100-102",38,14,9,1,0,1,6,18,33.3,2,10,20.0,0,0,,38.9,1,8,2,4,-3
Michael Porter Jr.,"Tue
4/2",DEN,vs,SAS,"W
110-105",35,15,16,3,1,1,5,16,31.3,3,8,37.5,2,3,66.7,43.3,2,14,1,1,-3
Michael Porter Jr.,"Sun
3/31",DEN,vs,CLE,"W
130-101",29,19,6,0,0,0,8,16,50.0,3,5,60.0,0,0,,59.4,0,6,2,1,=+18
Michael Porter Jr.,"Fri
3/29",DEN,vs,MIN,"L
98-111",36,14,6,4,1,0,5,10,50.0,2,5,40.0,2,2,100.0,64.3,1,5,0,2,-7
Michael Porter Jr.,"Wed
3/27",DEN,vs,PHX,"L
97-104",33,18,8,0,2,0,7,16,43.8,2,7,28.6,2,2,100.0,53.3,1,7,2,0,=+4
Michael Porter Jr.,"Mon
3/25",DEN,vs,MEM,"W
128-103",22,11,4,2,1,0,4,7,57.1,3,4,75.0,0,0,,78.6,1,3,1,0,=+5
Michael Porter Jr.,"Sat
3/23",DEN,@,POR,"W
114-111",35,12,9,3,0,0,5,12,41.7,1,5,20.0,1,2,50.0,46.6,3,6,2,2,-3
Michael Porter Jr.,"Thu
3/21",DEN,vs,NYK,"W
113-100",37,31,8,0,0,0,13,16,81.3,3,6,50.0,2,2,100.0,91.8,1,7,1,1,=+25
Michael Porter Jr.,"Tue
3/19",DEN,@,MIN,"W
115-112",32,26,4,1,0,0,9,15,60.0,4,7,57.1,4,5,80.0,75.6,1,3,3,2,=+8
Michael Porter Jr.,"Sun
3/17",DEN,@,DAL,"L
105-107",37,20,7,3,2,2,6,13,46.2,4,9,44.4,4,4,100.0,67.8,2,5,1,2,=+6
Michael Porter Jr.,"Fri
3/15",DEN,@,SAS,"W
117-106",23,13,7,1,1,0,5,9,55.6,2,5,40.0,1,1,100.0,68.9,0,7,0,1,=+5
Michael Porter Jr.,"Wed
3/13",DEN,@,MIA,"W
100-88",34,25,7,0,0,0,9,16,56.3,5,9,55.6,2,2,100.0,74.1,2,5,1,0,=+10
Michael Porter Jr.,"Mon
3/11",DEN,vs,TOR,"W
125-119",33,19,8,3,1,1,8,14,57.1,2,6,33.3,1,2,50.0,63.8,3,5,0,2,-2
Michael Porter Jr.,"Sat
3/9",DEN,vs,UTA,"W
142-121",22,19,4,2,1,1,8,13,61.5,3,5,60.0,0,0,,73.1,1,3,2,1,=+12
Michael Porter Jr.,"Thu
3/7",DEN,vs,BOS,"W
115-109",30,9,2,1,0,0,4,9,44.4,1,4,25.0,0,0,,50.0,0,2,0,4,-4
