PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Clint Capela,"Tue
2/27",ATL,vs,UTA,"W
124-97",25,9,13,0,1,3,4,9,44.4,0,0,,1,2,50.0,45.5,5,8,1,3,=+9
Clint Capela,"Sun
2/25",ATL,vs,ORL,"W
109-92",17,4,7,0,0,0,2,8,25.0,0,0,,0,0,,25.0,4,3,1,2,-3
Clint Capela,"Fri
2/23",ATL,vs,TOR,"L
121-123",19,5,7,1,0,1,1,4,25.0,0,0,,3,4,75.0,43.4,3,4,1,2,-4
Clint Capela,"Sat
2/3",ATL,vs,GSW,"W
141-134",25,17,15,2,0,0,8,11,72.7,0,0,,1,2,50.0,71.5,6,9,1,0,=+4
Clint Capela,"Fri
2/2",ATL,vs,PHX,"W
129-120",21,11,10,0,0,0,5,10,50.0,0,0,,1,2,50.0,50.6,6,4,0,2,-14
Clint Capela,"Sat
3/30",ATL,vs,MIL,"L
113-122",27,10,8,2,1,2,5,9,55.6,0,0,,0,0,,55.6,3,5,0,2,-6
Clint Capela,"Thu
3/28",ATL,vs,BOS,"W
123-122",33,12,13,3,0,2,6,8,75.0,0,0,,0,0,,75.0,7,6,2,2,0
Clint Capela,"Wed
3/27",ATL,vs,POR,"W
120-106",27,13,10,1,4,3,5,5,100.0,0,0,,3,6,50.0,85.1,1,9,4,2,=+7
Clint Capela,"Mon
3/25",ATL,vs,BOS,"W
120-118",29,14,12,3,0,2,6,10,60.0,0,0,,2,4,50.0,59.5,5,7,1,3,=+6
Clint Capela,"Sat
3/23",ATL,vs,CHA,"W
132-91",22,12,10,1,0,1,5,11,45.5,0,1,0.0,2,2,100.0,50.5,5,5,0,0,=+22
Clint Capela,"Thu
3/21",ATL,@,PHX,"L
115-128",25,13,10,2,0,2,5,10,50.0,0,0,,3,5,60.0,53.3,5,5,0,2,=+12
Clint Capela,"Mon
3/18",ATL,@,LAL,"L
105-136",20,10,9,0,1,1,5,10,50.0,0,0,,0,0,,50.0,4,5,1,1,-8
Clint Capela,"Sun
3/17",ATL,@,LAC,"W
110-93",26,15,13,3,1,2,7,11,63.6,0,0,,1,2,50.0,63.1,6,7,1,0,=+18
Clint Capela,"Fri
3/15",ATL,@,UTA,"L
122-124",32,10,15,4,0,2,4,8,50.0,0,0,,2,4,50.0,51.2,7,8,1,2,0
Clint Capela,"Wed
3/13",ATL,@,POR,"L
102-106",27,13,14,1,2,0,6,9,66.7,0,0,,1,5,20.0,58.0,7,7,2,4,-8
Clint Capela,"Sun
3/10",ATL,vs,NOP,"L
103-116",26,18,14,0,0,1,9,13,69.2,0,0,,0,0,,69.2,6,8,2,3,=+4
Clint Capela,"Fri
3/8",ATL,@,MEM,"W
99-92",27,15,11,3,0,1,5,13,38.5,0,0,,5,5,100.0,49.3,5,6,1,2,=+13
